amedas_id,station_id,fuken_id,access
11001,11,1284,1
11016,11,47401,1
11046,11,1546,1
11061,11,1528,1
11076,11,1285,1
11091,11,1512,1
11121,11,1203,1
11151,11,2,1
11176,11,1054,1
11206,11,3,1
11276,11,1051,1
11291,11,47402,1
11316,11,5,1
13011,11,1573,1
12011,12,1201,1
12041,12,1197,1
12066,12,1570,1
12141,12,6,1
12181,12,8,1
12217,12,9,1
12231,12,10,1
12256,12,1572,1
12261,12,11,1
12266,12,1047,1
12301,12,1055,1
12386,12,1191,1
12396,12,1048,1
12411,12,15,1
12442,12,47407,1
12451,12,1184,1
12457,12,17,1
12471,12,1049,1
12501,12,1458,1
12512,12,1185,1
12551,12,1052,1
12596,12,1190,1
12607,12,20,1
12626,12,21,1
12632,12,1280,1
12686,12,1574,1
12691,12,1188,1
12746,12,1189,1
15041,12,1279,1
15076,12,1053,1
13061,13,24,1
13086,13,25,1
13121,13,1216,1
13146,13,1213,1
13181,13,47404,1
13206,13,1112,1
13261,13,1217,1
13277,13,47406,1
13311,13,28,1
13321,13,1218,1
14026,14,1193,1
14071,14,1194,1
14101,14,30,1
14116,14,31,1
14121,14,1085,1
14136,14,1507,1
14157,14,32,1
14163,14,47412,1
14191,14,34,1
14206,14,35,1
14286,14,37,1
14296,14,1459,1
15116,15,38,1
15161,15,39,1
15197,15,1567,1
15216,15,1419,1
15231,15,1287,1
15241,15,41,1
15247,15,1566,1
15251,15,43,1
15276,15,1400,1
15311,15,999,1
15321,15,44,1
15356,15,47413,1
15391,15,1068,1
15431,15,47,1
15442,15,49,1
15451,15,1401,1
15491,15,1402,1
16026,16,51,1
16061,16,1208,1
16076,16,52,1
16091,16,47411,1
16126,16,1091,1
16156,16,54,1
16206,16,55,1
16217,16,47433,1
16252,16,47421,1
16272,16,1615,1
16281,16,1072,1
16286,16,60,1
16321,16,61,1
17036,17,47405,1
17076,17,63,1
17091,17,1073,1
17112,17,47435,1
17116,17,1487,1
17166,17,65,1
17196,17,66,1
17211,17,67,1
17246,17,68,1
17306,17,69,1
17316,17,70,1
17341,17,47409,1
17351,17,981,1
17386,17,1420,1
17482,17,1092,1
17501,17,72,1
17512,17,73,1
17521,17,74,1
17531,17,1460,1
17541,17,1263,1
17546,17,75,1
17561,17,76,1
17596,17,77,1
17607,17,1209,1
17631,17,79,1
17642,17,1617,1
17686,17,1569,1
17717,17,82,1
17776,17,1568,1
18038,18,84,1
18091,18,1266,1
18136,18,85,1
18161,18,1547,1
18171,18,86,1
18174,18,1489,1
18256,18,88,1
18273,18,47420,1
18281,18,1056,1
18311,18,1196,1
19021,19,90,1
19051,19,1187,1
19076,19,91,1
19151,19,93,1
19191,19,1186,1
19261,19,95,1
19281,19,1403,1
19301,19,1417,1
19311,19,1195,1
19346,19,96,1
19347,19,1461,1
19376,19,1192,1
19406,19,1107,1
19416,19,98,1
19432,19,47418,1
19451,19,1283,1
20047,20,1571,1
20071,20,1404,1
